ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Mu Smooth,Beta Smooth,Gamma Smooth,Positive Test Rate Smooth,Mobility Rate Smooth
ESP,Europe,Spain,2021-03-16,44062624.571428575,67116.42857142858,3128694.571428572,74178.42857142858,0.001769403029437936,0.0729424075972922,0.06312735946722085,0.056,-0.10714285714285712
ESP,Europe,Spain,2021-03-17,44057765.28571429,66393.28571428571,3134158.1428571427,74297.28571428571,0.0017729726935805574,0.07215831429462799,0.0649754674201848,0.056,-0.10547619047619047
ESP,Europe,Spain,2021-03-18,44052911.571428575,66157.0,3139130.2857142864,74415.14285714286,0.0014159278689762475,0.07073750541456378,0.06741965701851366,0.057,-0.10404761904761906
ESP,Europe,Spain,2021-03-19,44048821.85714287,65466.42857142857,3143817.4285714286,74508.28571428571,0.0014159278689762475,0.07319943345411202,0.07040031358240426,0.057,-0.12238095238095238
ESP,Europe,Spain,2021-03-20,44044732.14285714,64775.857142857145,3148504.571428572,74601.42857142858,0.0014159278689762475,0.07736268178747273,0.0722423591429958,0.057,-0.12642857142857142
ESP,Europe,Spain,2021-03-21,44040642.42857143,64085.28571428573,3153191.7142857136,74694.57142857142,0.002527924723794658,0.08282216315328397,0.07414066058734321,0.057,-0.12595238095238095
ESP,Europe,Spain,2021-03-22,44035822.28571428,64608.57142857143,3157328.7142857136,74854.42857142858,0.0026402483643011747,0.08521006830318657,0.07641407646048924,0.057,-0.12571428571428572
ESP,Europe,Spain,2021-03-23,44030923.0,64643.42857142857,3162024.7142857136,75022.85714285714,0.0021546584577559337,0.08789927596356098,0.07858901769367665,0.058,-0.12357142857142857
ESP,Europe,Spain,2021-03-24,44026894.0,63670.0,3166891.2857142864,75158.71428571429,0.0035040539509811727,0.09516732381024992,0.08083480686383449,0.059,-0.12190476190476189
ESP,Europe,Spain,2021-03-25,44021836.0,63596.0,3171807.571428572,75374.42857142858,0.004761167830583754,0.09922857448160187,0.08386906712704707,0.06,-0.11738095238095238
ESP,Europe,Spain,2021-03-26,44015694.28571428,64641.714285714275,3176603.571428572,75674.42857142858,0.004761167830583754,0.0985837610158328,0.08769420518139816,0.061,-0.09738095238095237
ESP,Europe,Spain,2021-03-27,44009552.571428575,65687.42857142858,3181399.571428572,75974.42857142858,0.004761167830583754,0.0963408806990784,0.08997452376305047,0.062,-0.09047619047619049
ESP,Europe,Spain,2021-03-28,44003410.85714286,66733.14285714286,3186195.571428572,76274.42857142858,0.003683985641407275,0.09384521464309123,0.09204677914896432,0.062,-0.08285714285714287
ESP,Europe,Spain,2021-03-29,43997407.71428571,67770.57142857142,3190924.7142857136,76511.0,0.003454577501992604,0.09342697686892833,0.09394348052757276,0.064,-0.07833333333333334
ESP,Europe,Spain,2021-03-30,43991479.14285714,68589.85714285714,3195811.0,76734.0,0.003755720476463893,0.09314385633847652,0.09631343577082027,0.067,-0.07357142857142858
ESP,Europe,Spain,2021-03-31,43984331.42857143,70752.14285714286,3200551.4285714286,76979.0,0.0023127920537748385,0.08714302038275935,0.09886552825529836,0.07,-0.061904761904761914
ESP,Europe,Spain,2021-04-01,43978094.85714286,72092.71428571429,3205287.2857142864,77139.14285714286,0.0010556781741722571,0.0850361142859178,0.1024941657542718,0.073,-0.06666666666666668
ESP,Europe,Spain,2021-04-02,43972942.0,73173.14285714286,3209283.8571428573,77215.0,0.0013491267935619214,0.08682856710717776,0.10724496330059216,0.075,-0.09214285714285715
ESP,Europe,Spain,2021-04-03,43966421.85714287,75598.42857142858,3213280.4285714286,77313.28571428571,0.0013491267935619214,0.08507083054504834,0.1104563924694832,0.076,-0.09095238095238094
ESP,Europe,Spain,2021-04-04,43959901.71428571,78023.71428571429,3217277.0,77411.57142857142,0.0010985233826518671,0.08298965909225302,0.11320927431773975,0.078,-0.0888095238095238
ESP,Europe,Spain,2021-04-05,43954116.0,79065.71428571429,3221937.2857142864,77495.0,0.0011188214231465038,0.08486606293047254,0.11510707615181492,0.08,-0.09547619047619048
ESP,Europe,Spain,2021-04-06,43948097.57142857,80266.71428571429,3226668.1428571427,77581.57142857142,0.0010386403695708472,0.0872480910635747,0.1153875724556214,0.081,-0.09809523809523808
ESP,Europe,Spain,2021-04-07,43942042.85714286,82345.71428571429,3230561.2857142864,77664.14285714286,0.0011087167446347202,0.0901813261265222,0.11440600853861276,0.082,-0.11023809523809522
ESP,Europe,Spain,2021-04-08,43935579.57142857,83875.57142857142,3235403.571428572,77755.28571428571,0.0013529870485791118,0.0931041220078658,0.11269301430516485,0.082,-0.10714285714285714
ESP,Europe,Spain,2021-04-09,43927562.71428572,85938.28571428571,3241245.2857142864,77867.71428571429,0.0010595384291894477,0.09172854097409992,0.11013973713826956,0.081,-0.08642857142857142
ESP,Europe,Spain,2021-04-10,43920913.14285714,86656.14285714286,3247087.0,77957.71428571429,0.0010595384291894477,0.0946704264941904,0.10775835914553587,0.081,-0.09619047619047617
ESP,Europe,Spain,2021-04-11,43914263.57142857,87374.0,3252928.7142857136,78047.71428571429,0.001227792076777668,0.09786011670860244,0.10540016229920801,0.081,-0.11119047619047617
ESP,Europe,Spain,2021-04-12,43905844.85714286,89920.14285714287,3258695.2857142864,78153.71428571429,0.001145640109316558,0.09605390830865973,0.10322833230260707,0.08,-0.10809523809523809
ESP,Europe,Spain,2021-04-13,43897473.42857143,92484.0,3264400.8571428573,78255.71428571429,0.0011129336352545696,0.0940482402478188,0.10122361690347408,0.078,-0.11214285714285714
ESP,Europe,Spain,2021-04-14,43888861.14285714,94090.85714285713,3271303.571428572,78358.42857142858,0.0010654107536494453,0.0913201565740194,0.10029559970966584,0.077,-0.11333333333333333
ESP,Europe,Spain,2021-04-15,43880282.85714286,96492.28571428572,3277380.0,78458.85714285714,0.000957194871473761,0.08858241681000141,0.0994019792003726,0.077,-0.11809523809523811
ESP,Europe,Spain,2021-04-16,43871744.14285714,99860.71428571428,3282457.0,78552.14285714286,0.000957194871473761,0.08608243807592676,0.09860309210818592,0.077,-0.1138095238095238
ESP,Europe,Spain,2021-04-17,43863205.42857143,101884.28571428572,3288878.8571428573,78645.42857142858,0.000957194871473761,0.08407758478083957,0.09852691453457806,0.077,-0.10690476190476192
ESP,Europe,Spain,2021-04-18,43854666.71428571,103907.85714285713,3295300.7142857136,78738.71428571429,0.0008120612632660213,0.08199279365440093,0.09923389325528384,0.077,-0.09666666666666668
ESP,Europe,Spain,2021-04-19,43846367.0,106422.85714285713,3301003.0,78821.14285714286,0.0006664446862748966,0.08115368514600282,0.1005467687455798,0.076,-0.09523809523809525
