Country/Region,Date,Daily Confirmed,Daily Confirmed Smooth (7 days),Daily Deaths,Daily Deaths Smooth (7 days)
Spain,2021-04-03,9571,6520.142857142857,157,98.28571428571429
Spain,2021-04-04,0,6520.142857142857,0,98.28571428571429
Spain,2021-04-05,10360,5785.714285714285,85,83.42857142857143
Spain,2021-04-06,6623,6018.428571428572,128,86.57142857142857
Spain,2021-04-07,8788,6054.714285714285,126,82.57142857142857
Spain,2021-04-08,9901,6463.285714285715,142,91.14285714285714
Spain,2021-04-09,10875,8016.857142857143,149,112.42857142857143
Spain,2021-04-10,0,6649.571428571428,0,90.0
Spain,2021-04-11,0,6649.571428571428,0,90.0
Spain,2021-04-12,22744,8418.714285714286,197,106.0
Spain,2021-04-13,6292,8371.42857142857,100,102.0
Spain,2021-04-14,10474,8612.285714285714,131,102.71428571428571
Spain,2021-04-15,9663,8578.285714285714,126,100.42857142857143
Spain,2021-04-16,10598,8538.714285714286,99,93.28571428571429
Spain,2021-04-17,0,8538.714285714286,0,93.28571428571429
Spain,2021-04-18,0,8538.714285714286,0,93.28571428571429
Spain,2021-04-19,21071,8299.714285714286,121,82.42857142857143
Spain,2021-04-20,0,7400.857142857143,0,68.14285714285714
Spain,2021-04-21,17718,8435.714285714286,262,86.85714285714286
Spain,2021-04-22,10814,8600.142857142857,132,87.71428571428571
Spain,2021-04-23,11731,8762.0,95,87.14285714285714
Spain,2021-04-24,0,8762.0,0,87.14285714285714
Spain,2021-04-25,0,8762.0,0,87.14285714285714
Spain,2021-04-26,19852,8587.857142857143,147,90.85714285714286
Spain,2021-04-27,7665,9682.857142857143,117,107.57142857142857
Spain,2021-04-28,8665,8389.57142857143,88,82.71428571428571
Spain,2021-04-29,10143,8293.714285714286,137,83.42857142857143
Spain,2021-04-30,9135,7922.857142857143,136,89.28571428571429
Spain,2021-05-01,0,7922.857142857143,0,89.28571428571429
Spain,2021-05-02,0,7922.857142857143,0,89.28571428571429
Spain,2021-05-03,16353,7423.0,77,79.28571428571429
Spain,2021-05-04,4515,6973.0,106,77.71428571428571
Spain,2021-05-05,6317,6637.571428571428,167,89.0
Spain,2021-05-06,7960,6325.714285714285,160,92.28571428571429
Spain,2021-05-07,8186,6190.142857142857,66,82.28571428571429
Spain,2021-05-08,0,6190.142857142857,0,82.28571428571429
Spain,2021-05-09,0,6190.142857142857,0,82.28571428571429
Spain,2021-05-10,13984,5851.714285714285,103,86.0
Spain,2021-05-11,4941,5912.571428571428,205,100.14285714285714
Spain,2021-05-12,6418,5927.0,108,91.71428571428571
Spain,2021-05-13,5701,5604.285714285715,73,79.28571428571429
Spain,2021-05-14,6347,5341.571428571428,58,78.14285714285714
Spain,2021-05-15,0,5341.571428571428,0,78.14285714285714
Spain,2021-05-16,0,5341.571428571428,0,78.14285714285714
Spain,2021-05-17,11061,4924.0,93,76.71428571428571
Spain,2021-05-18,3988,4787.857142857143,70,57.42857142857143
Spain,2021-05-19,6080,4739.571428571428,66,51.42857142857143
Spain,2021-05-20,5733,4744.142857142857,33,45.714285714285715
Spain,2021-05-21,4792,4522.0,19,40.142857142857146
Spain,2021-05-22,0,4522.0,0,40.142857142857146
Spain,2021-05-23,0,4522.0,0,40.142857142857146
Spain,2021-05-24,11067,4522.857142857143,91,39.857142857142854
Spain,2021-05-25,5359,4718.714285714285,90,42.714285714285715
Spain,2021-05-26,5007,4565.428571428572,54,41.0
Spain,2021-05-27,5290,4502.142857142857,33,41.0
Spain,2021-05-28,5482,4600.714285714285,17,40.714285714285715
Spain,2021-05-29,0,4600.714285714285,0,40.714285714285715
Spain,2021-05-30,0,4600.714285714285,0,40.714285714285715
Spain,2021-05-31,9732,4410.0,48,34.57142857142857
Spain,2021-06-01,4388,4271.285714285715,30,26.0
Spain,2021-06-02,4984,4268.0,66,27.714285714285715
Spain,2021-06-03,5250,4262.285714285715,0,23.0
Spain,2021-06-04,4969,4189.0,146,41.42857142857143
Spain,2021-06-05,0,4189.0,1,41.57142857142857
Spain,2021-06-06,0,4189.0,0,41.57142857142857
Spain,2021-06-07,9542,4161.857142857143,40,40.42857142857143
Spain,2021-06-08,3504,4035.5714285714284,73,46.57142857142857
Spain,2021-06-09,4427,3956.0,23,40.42857142857143
Spain,2021-06-10,14004,5206.571428571428,133,59.42857142857143
Spain,2021-06-11,4142,5088.428571428572,36,43.714285714285715
