Country/Region,Date,Num Hospitalizations,Num Hospitalizations Smooth (7 days),Num UCI,Num UCI Smooth (7 days)
Spain,2021-01-09,1065,1183.142857142857,120,116.28571428571429
Spain,2021-01-10,1184,1225.7142857142858,139,124.14285714285714
Spain,2021-01-11,1713,1285.0,170,132.0
Spain,2021-01-12,1833,1364.2857142857142,192,142.71428571428572
Spain,2021-01-13,1968,1503.5714285714287,193,155.14285714285714
Spain,2021-01-14,2112,1614.7142857142858,202,165.0
Spain,2021-01-15,2184,1722.7142857142858,205,174.42857142857142
Spain,2021-01-16,1884,1839.7142857142858,192,184.71428571428572
Spain,2021-01-17,1832,1932.2857142857142,178,190.28571428571428
Spain,2021-01-18,2534,2049.5714285714284,263,203.57142857142858
Spain,2021-01-19,2698,2173.1428571428573,246,211.28571428571428
Spain,2021-01-20,2594,2262.5714285714284,260,220.85714285714286
Spain,2021-01-21,2680,2343.714285714286,267,230.14285714285714
Spain,2021-01-22,2602,2403.4285714285716,262,238.28571428571428
Spain,2021-01-23,2094,2433.4285714285716,218,242.0
Spain,2021-01-24,1878,2440.0,185,243.0
Spain,2021-01-25,2599,2449.285714285714,264,243.14285714285714
Spain,2021-01-26,2530,2425.285714285714,232,241.14285714285714
Spain,2021-01-27,2414,2399.5714285714284,245,239.0
Spain,2021-01-28,2393,2358.5714285714284,225,233.0
Spain,2021-01-29,2348,2322.285714285714,237,229.42857142857142
Spain,2021-01-30,1795,2279.5714285714284,198,226.57142857142858
Spain,2021-01-31,1544,2231.8571428571427,177,225.42857142857142
Spain,2021-02-01,2047,2153.0,223,219.57142857142858
Spain,2021-02-02,2022,2080.4285714285716,204,215.57142857142858
Spain,2021-02-03,1779,1989.7142857142858,203,209.57142857142858
Spain,2021-02-04,1744,1897.0,181,203.28571428571428
Spain,2021-02-05,1630,1794.4285714285713,184,195.71428571428572
Spain,2021-02-06,1165,1704.4285714285713,128,185.71428571428572
Spain,2021-02-07,1005,1627.4285714285713,120,177.57142857142858
Spain,2021-02-08,1485,1547.142857142857,169,169.85714285714286
Spain,2021-02-09,1352,1451.4285714285713,143,161.14285714285714
Spain,2021-02-10,1134,1359.2857142857142,119,149.14285714285714
Spain,2021-02-11,1048,1259.857142857143,123,140.85714285714286
Spain,2021-02-12,1086,1182.142857142857,106,129.71428571428572
Spain,2021-02-13,688,1114.0,79,122.71428571428571
Spain,2021-02-14,594,1055.2857142857142,69,115.42857142857143
Spain,2021-02-15,873,967.8571428571429,96,105.0
Spain,2021-02-16,769,884.5714285714286,90,97.42857142857143
Spain,2021-02-17,784,834.5714285714286,96,94.14285714285714
Spain,2021-02-18,724,788.2857142857143,83,88.42857142857143
Spain,2021-02-19,712,734.8571428571429,83,85.14285714285714
Spain,2021-02-20,523,711.2857142857143,64,83.0
Spain,2021-02-21,487,696.0,70,83.14285714285714
Spain,2021-02-22,654,664.7142857142857,84,81.42857142857143
Spain,2021-02-23,620,643.4285714285714,62,77.42857142857143
Spain,2021-02-24,565,612.1428571428571,67,73.28571428571429
Spain,2021-02-25,561,588.8571428571429,59,69.85714285714286
Spain,2021-02-26,621,575.8571428571429,76,68.85714285714286
Spain,2021-02-27,442,564.2857142857143,64,68.85714285714286
Spain,2021-02-28,364,546.7142857142857,57,67.0
Spain,2021-03-01,489,523.1428571428571,55,62.857142857142854
Spain,2021-03-02,513,507.85714285714283,79,65.28571428571429
Spain,2021-03-03,493,497.57142857142856,56,63.714285714285715
Spain,2021-03-04,505,489.57142857142856,66,64.71428571428571
Spain,2021-03-05,536,477.42857142857144,68,63.57142857142857
Spain,2021-03-06,393,470.42857142857144,49,61.42857142857143
Spain,2021-03-07,382,473.0,61,62.0
Spain,2021-03-08,541,480.42857142857144,52,61.57142857142857
Spain,2021-03-09,507,479.57142857142856,52,57.714285714285715
Spain,2021-03-10,458,474.57142857142856,55,57.57142857142857
Spain,2021-03-11,457,467.7142857142857,52,55.57142857142857
Spain,2021-03-12,485,460.42857142857144,43,52.0
Spain,2021-03-13,383,459.0,48,51.857142857142854
Spain,2021-03-14,316,449.57142857142856,46,49.714285714285715
Spain,2021-03-15,466,438.85714285714283,61,51.0
Spain,2021-03-16,444,429.85714285714283,57,51.714285714285715
Spain,2021-03-17,510,437.2857142857143,63,52.857142857142854
Spain,2021-03-18,436,434.2857142857143,55,53.285714285714285
Spain,2021-03-19,438,427.57142857142856,55,55.0
Spain,2021-03-20,343,421.85714285714283,43,54.285714285714285
Spain,2021-03-21,340,425.2857142857143,50,54.857142857142854
Spain,2021-03-22,529,434.2857142857143,65,55.42857142857143
Spain,2021-03-23,479,439.2857142857143,58,55.57142857142857
Spain,2021-03-24,505,438.57142857142856,72,56.857142857142854
Spain,2021-03-25,518,450.2857142857143,77,60.0
Spain,2021-03-26,558,467.42857142857144,72,62.42857142857143
Spain,2021-03-27,443,481.7142857142857,64,65.42857142857143
Spain,2021-03-28,346,482.57142857142856,51,65.57142857142857
Spain,2021-03-29,592,491.57142857142856,77,67.28571428571429
Spain,2021-03-30,583,506.42857142857144,65,68.28571428571429
Spain,2021-03-31,630,524.2857142857143,88,70.57142857142857
