ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Total Population (N),Total Population Without Deahts (N Alive)
ESP,Europe,Spain,2020-11-24,45762984.42857143,221102.2857142857,1303895.0,44632.285714285725,47332614.0,47287981.71428572
ESP,Europe,Spain,2020-11-25,45751595.14285714,213447.0,1322654.142857143,44917.714285714275,47332614.0,47287696.28571428
ESP,Europe,Spain,2020-11-26,45740769.28571428,205556.85714285716,1341072.5714285714,45215.285714285725,47332614.0,47287398.71428572
ESP,Europe,Spain,2020-11-27,45730558.14285714,197214.85714285716,1359333.0,45508.0,47332614.0,47287106.0
ESP,Europe,Spain,2020-11-28,45720347.0,188872.85714285716,1377593.4285714286,45800.714285714275,47332614.0,47286813.28571428
ESP,Europe,Spain,2020-11-29,45710135.85714286,180530.85714285716,1395853.857142857,46093.428571428565,47332614.0,47286520.571428575
ESP,Europe,Spain,2020-11-30,45700768.57142858,173373.0,1412102.1428571432,46370.285714285725,47332614.00000001,47286243.714285724
ESP,Europe,Spain,2020-12-01,45691968.57142857,163843.7142857143,1430168.1428571432,46633.571428571435,47332614.0,47285980.428571425
ESP,Europe,Spain,2020-12-02,45683295.85714286,157167.14285714287,1445267.8571428568,46883.142857142855,47332614.0,47285730.85714286
ESP,Europe,Spain,2020-12-03,45674932.0,150647.0,1459914.1428571432,47120.857142857145,47332614.0,47285493.14285714
ESP,Europe,Spain,2020-12-04,45666869.28571428,144727.85714285713,1473669.7142857143,47347.142857142855,47332614.0,47285266.85714286
ESP,Europe,Spain,2020-12-05,45658806.57142858,138808.7142857143,1487425.2857142857,47573.428571428565,47332614.00000001,47285040.57142858
ESP,Europe,Spain,2020-12-06,45650743.85714285,132889.57142857142,1501180.8571428568,47799.714285714275,47332614.0,47284814.28571428
ESP,Europe,Spain,2020-12-07,45643009.42857143,128416.71428571428,1513162.8571428568,48025.0,47332614.00000001,47284589.00000001
ESP,Europe,Spain,2020-12-08,45636454.57142858,122975.0,1524997.2857142857,48187.142857142855,47332614.00000001,47284426.857142866
ESP,Europe,Spain,2020-12-09,45629836.57142857,118312.71428571428,1536101.1428571432,48363.571428571435,47332614.0,47284250.428571425
ESP,Europe,Spain,2020-12-10,45623528.85714286,113905.57142857145,1546629.4285714286,48550.142857142855,47332614.0,47284063.85714286
ESP,Europe,Spain,2020-12-11,45616967.71428572,110352.28571428572,1556547.8571428568,48746.142857142855,47332614.0,47283867.85714286
ESP,Europe,Spain,2020-12-12,45610406.57142858,106799.0,1566466.2857142857,48942.142857142855,47332614.00000001,47283671.857142866
ESP,Europe,Spain,2020-12-13,45603845.42857143,103245.71428571428,1576384.7142857143,49138.142857142855,47332614.00000001,47283475.857142866
ESP,Europe,Spain,2020-12-14,45596766.00000001,101039.42857142855,1585475.1428571432,49333.428571428565,47332614.0,47283280.571428575
ESP,Europe,Spain,2020-12-15,45588211.14285714,100806.85714285713,1594011.8571428568,49584.142857142855,47332614.0,47283029.85714286
ESP,Europe,Spain,2020-12-16,45579469.85714286,100899.71428571428,1602435.0,49809.428571428565,47332614.0,47282804.571428575
ESP,Europe,Spain,2020-12-17,45570132.0,101906.71428571428,1610561.1428571432,50014.142857142855,47332614.0,47282599.85714286
