ISO_code,Continent,Country/Region,Date,Mu Raw,Mu Smooth (7 days average),Beta Raw,Beta Smooth (7 days average),Beta Fixed Raw (No negative values),Beta Fixed Smooth,Gamma Raw,Gamma Smooth (7 days average),R0 Raw,R0 Smooth (7 days average),R0 Fixed Raw (No negative values),R0 Fixed Smooth
ESP,Europe,Spain,2020-04-14,0.007480584741891274,0.007157448987328981,0.05730599299781069,0.05391711010821154,0.05730599299781069,0.05391711010821154,0.08626084970306076,0.08983260416693035,0.6643337411476636,0.6001953367401074,0.6643337411476636,0.6001953367401074
ESP,Europe,Spain,2020-04-15,0.0075159447092016975,0.007439378647117094,0.06007307138761714,0.06204327880161931,0.06007307138761714,0.06204327880161931,0.08488038504398132,0.09305358638864203,0.7077379698088067,0.6667478515281837,0.7077379698088067,0.6667478515281837
ESP,Europe,Spain,2020-04-16,0.006432956341669628,0.00790116974339226,0.058447390437397974,0.06667989656358211,0.058447390437397974,0.06667989656358211,0.08175368516499001,0.09497303716226654,0.7149205606994133,0.702092915588831,0.7149205606994133,0.702092915588831
ESP,Europe,Spain,2020-04-17,0.007616713823767178,0.007075389151999808,0.048215785953075754,0.060355020290653094,0.048215785953075754,0.060355020290653094,0.07647029102667745,0.09743505947652835,0.6305165745512226,0.619438430221232,0.6305165745512226,0.619438430221232
ESP,Europe,Spain,2020-04-18,0.007167660355107122,0.007006594346634498,0.0429739802893132,0.07081083112307811,0.0429739802893132,0.07081083112307811,0.09084714669462098,0.09840430657405133,0.4730361035307857,0.7195907739036955,0.4730361035307857,0.7195907739036955
ESP,Europe,Spain,2020-04-19,0.004160714533375865,0.006945220549041128,0.03399036733040859,0.06839287257899054,0.03399036733040859,0.06839287257899054,0.1001206607214679,0.09586974873575309,0.33949403734927974,0.713393677159858,0.33949403734927974,0.713393677159858
ESP,Europe,Spain,2020-04-20,0.009727568406290096,0.00744730161884323,0.07641318236185739,0.07369819839115517,0.07641318236185739,0.07369819839115517,0.10849521081371408,0.09320211676103941,0.704300049640519,0.7907352424206172,0.704300049640519,0.7907352424206172
ESP,Europe,Spain,2020-04-21,0.009454092360408069,0.007187539662710134,0.11418917385166515,0.07376727759319356,0.11418917385166515,0.07376727759319356,0.10880772525504244,0.09206929590574216,1.0494583319705355,0.8012147466481587,1.0494583319705355,0.8012147466481587
ESP,Europe,Spain,2020-04-22,0.010748482383127856,0.0070175038876863416,0.09252939572135672,0.0699455408873001,0.09252939572135672,0.0699455408873001,0.0983165404593529,0.08818862115907859,0.9411376284096493,0.7931356672549533,0.9411376284096493,0.7931356672549533
ESP,Europe,Spain,2020-04-23,0.0006524922019224648,0.006469510575040304,0.014173256526894903,0.056727055784249136,0.014173256526894903,0.056727055784249136,0.0989878413648227,0.08602843085311922,0.14318179214211707,0.6593989361621877,0.14318179214211707,0.6593989361621877
ESP,Europe,Spain,2020-04-24,0.007135150186210017,0.007494124678322604,0.1214064617800509,0.06336155823838777,0.1214064617800509,0.06336155823838777,0.08325502070933835,0.08439337294892159,1.458247932024516,0.7507883145840947,1.458247932024516,0.7507883145840947
ESP,Europe,Spain,2020-04-25,0.006738043771953526,0.0073574084034679675,0.026048270480700256,0.051340671801384276,0.026048270480700256,0.051340671801384276,0.07310524182653337,0.08230942860918992,0.35631193919730797,0.6237520132128829,0.35631193919730797,0.6237520132128829
ESP,Europe,Spain,2020-04-26,0.0076752820219905754,0.007448997706906439,0.07112764801556085,0.05347778956478962,0.07112764801556085,0.05347778956478962,0.08144723689847208,0.08053164851488505,0.8732972501476618,0.6640592928493829,0.8732972501476618,0.6640592928493829
ESP,Europe,Spain,2020-04-27,0.007909234713358426,0.007337976308521922,0.07689673677612609,0.047618924705324625,0.07689673677612609,0.047618924705324625,0.10056546482663321,0.07590904810543382,0.7646435772826177,0.6273155294897698,0.7646435772826177,0.6273155294897698
ESP,Europe,Spain,2020-04-28,0.00826384193524153,0.007730774710815257,0.08743701691041095,0.04387417626891661,0.08743701691041095,0.04387417626891661,0.08164300202839757,0.07650389766801564,1.0709676853871453,0.5734894248042908,1.0709676853871453,0.5734894248042908
ESP,Europe,Spain,2020-04-29,0.00691252919460559,0.007513630852498706,0.0,0.033254090111316685,0.0,0.033254090111316685,0.08319520831763731,0.08891495201912457,0.0,0.373998853468021,0.0,0.373998853468021
ESP,Europe,Spain,2020-04-30,0.007824790924898567,0.006526126681840764,0.060614773705865294,0.04093244561921668,0.060614773705865294,0.04093244561921668,0.08754243603543926,0.09935979855263397,0.6924044663473494,0.41196184186639123,0.6924044663473494,0.41196184186639123
ESP,Europe,Spain,2020-05-01,0.006178136262227562,0.008072224032614497,0.03726025672102648,0.03883750285018417,0.03726025672102648,0.03883750285018417,0.06866741033121675,0.09089984081013758,0.5426192212769042,0.42725600511560885,0.5426192212769042,0.42725600511560885
ESP,Europe,Spain,2020-05-02,0.007379168896022829,0.007974957155996396,0.04100809482453771,0.037768061434073394,0.04100809482453771,0.037768061434073394,0.06066078116639914,0.11239782313837816,0.6760231905363703,0.33602128919859403,0.6760231905363703,0.33602128919859403
ESP,Europe,Spain,2020-05-03,0.006898132233298957,0.007896370909079358,0.030115593999305832,0.03516744127402385,0.030115593999305832,0.03516744127402385,0.04908903403231351,0.11049562713164977,0.6134892363023856,0.31826998214258456,0.6134892363023856,0.31826998214258456
ESP,Europe,Spain,2020-05-04,0.010658823529411764,0.0080471963492205,0.050683497721269996,0.03899958100991254,0.050683497721269996,0.03899958100991254,0.10472941176470588,0.12521335948374954,0.4839471249503426,0.31146501595921156,0.4839471249503426,0.31146501595921156
ESP,Europe,Spain,2020-05-05,0.006743834927025667,0.008195992017866784,0.013096413807211502,0.038615250684206334,0.013096413807211502,0.038615250684206334,0.16852038248616005,0.13611892639834505,0.07771412344312155,0.2836875936796679,0.07771412344312155,0.2836875936796679
ESP,Europe,Spain,2020-05-06,0.0,0.008939181051206517,0.05374848855529999,0.04577796370375932,0.05374848855529999,0.04577796370375932,0.15630913405220317,0.145655674898239,0.34386019013674146,0.31428891277831555,0.34386019013674146,0.31428891277831555
ESP,Europe,Spain,2020-05-07,0.018647472380314698,0.011188513127271269,0.04595017432263768,0.05201727202675942,0.04595017432263768,0.05201727202675942,0.028322731837964514,0.11972097383687604,1.6223779042756352,0.4344875451617588,1.6223779042756352,0.4344875451617588
