country_region_code,country_region,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,average_perc,average_rate
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-04,-25.0,-10.0,43.0,-26.0,-3.0,-1.0,-3.6666666666666665,-0.03666666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-05,-24.0,2.0,28.0,-30.0,5.0,-3.0,-3.6666666666666665,-0.03666666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-06,-10.0,-3.0,45.0,-27.0,-33.0,5.0,-3.8333333333333335,-0.03833333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-07,-12.0,-4.0,51.0,-26.0,-33.0,5.0,-3.1666666666666665,-0.03166666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-08,-13.0,-4.0,47.0,-27.0,-31.0,5.0,-3.8333333333333335,-0.03833333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-09,-13.0,-3.0,46.0,-27.0,-31.0,5.0,-3.8333333333333335,-0.03833333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-10,-19.0,-6.0,37.0,-29.0,-30.0,4.0,-7.166666666666667,-0.07166666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-11,-27.0,-12.0,44.0,-27.0,-2.0,-1.0,-4.166666666666667,-0.04166666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-12,-27.0,-3.0,24.0,-31.0,6.0,-3.0,-5.666666666666667,-0.05666666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-13,-10.0,-4.0,58.0,-27.0,-31.0,4.0,-1.6666666666666667,-0.016666666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-14,-12.0,-4.0,50.0,-27.0,-32.0,5.0,-3.3333333333333335,-0.03333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-15,-12.0,-3.0,47.0,-28.0,-30.0,4.0,-3.6666666666666665,-0.03666666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-16,-13.0,-5.0,46.0,-30.0,-31.0,5.0,-4.666666666666667,-0.04666666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-17,-20.0,-6.0,42.0,-31.0,-30.0,4.0,-6.833333333333333,-0.06833333333333333
