Country/Region,Date,Daily Confirmed Smooth,Daily Deaths Smooth,Positive Test Rate Smooth,Mobility Rate Smooth,Num Hospitalizations Smooth,Num UCI Smooth,Beta Smooth,Gamma Smooth,Mu Smooth
Spain,2021-11-27,7192.714285714285,20.714285714285715,0.072,-0.0516666666666666,302.1428571428572,36.71428571428572,0.1154305546836665,0.085114983616411,0.0003063547171407
Spain,2021-11-28,7192.714285714285,20.714285714285715,0.073,-0.05,305.7142857142857,37.0,0.1145730309831549,0.0852725937913131,0.0003395128660629
Spain,2021-11-29,8197.857142857143,25.142857142857142,0.076,-0.0457142857142857,306.57142857142856,39.0,0.1140185122596723,0.0843781808345535,0.0003288835420603
Spain,2021-11-30,8695.57142857143,26.571428571428573,0.078,-0.0373809523809523,318.1428571428572,39.142857142857146,0.1110148693996568,0.0835366272976777,0.0002912703831811
Spain,2021-12-01,8982.57142857143,25.142857142857142,0.08,-0.0338095238095238,321.2857142857143,40.57142857142857,0.1088463591243845,0.0827259186598989,0.0002946911463438
Spain,2021-12-02,9731.42857142857,27.285714285714285,0.083,-0.0319047619047619,331.1428571428572,42.71428571428572,0.1054871065397336,0.08118378448854,0.0002967551739488
Spain,2021-12-03,10278.0,29.142857142857142,0.085,-0.0311904761904761,340.1428571428572,43.71428571428572,0.1022389405896749,0.0789826391844287,0.0002967551739488
Spain,2021-12-04,10278.0,29.142857142857142,0.088,-0.0235714285714285,351.0,45.42857142857143,0.0991125175333803,0.0773074596918688,0.0002967551739488
Spain,2021-12-05,10278.0,29.142857142857142,0.09,-0.0057142857142857,358.0,46.85714285714285,0.096168400730717,0.0757121493309089,0.0002061596709044
Spain,2021-12-06,7005.0,21.571428571428573,0.093,-0.0192857142857142,361.2857142857143,45.42857142857143,0.1036362135246836,0.0737085545660761,0.0002461711361163
Spain,2021-12-07,11797.42857142857,26.428571428571427,0.098,-0.0138095238095238,365.1428571428572,48.85714285714285,0.1045141820016275,0.0717151124322766,0.0002072727387303
Spain,2021-12-08,10292.285714285714,22.428571428571427,0.104,-0.0478571428571428,365.2857142857143,48.285714285714285,0.109730068163137,0.0689908454458758,0.0002402009000225
Spain,2021-12-09,11994.0,28.428571428571427,0.11,-0.0478571428571428,376.8571428571428,48.285714285714285,0.1145421415371921,0.0660512906237412,0.0002497533359163
Spain,2021-12-10,12473.57142857143,31.571428571428573,0.117,-0.0521428571428571,398.57142857142856,50.142857142857146,0.1203738773343924,0.0630304717663161,0.0002506527361962
Spain,2021-12-11,12473.57142857143,31.714285714285715,0.12,-0.0521428571428571,422.57142857142856,52.71428571428572,0.1266913299806154,0.0606536620137137,0.0002506527361962
Spain,2021-12-12,12473.57142857143,31.714285714285715,0.123,-0.0576190476190476,435.1428571428572,52.85714285714285,0.1331806902301593,0.0607248688991163,0.0003432915482608
Spain,2021-12-13,19588.14285714286,46.42857142857143,0.126,-0.04,454.7142857142857,56.142857142857146,0.1284333756471752,0.0614207181073609,0.0002828869868179
Spain,2021-12-14,17063.571428571428,43.57142857142857,0.13,-0.0447619047619047,471.57142857142856,56.85714285714285,0.1319725174217331,0.0627913231467557,0.0003374675353028
Spain,2021-12-15,20940.714285714286,54.57142857142857,0.134,-0.0073809523809523,497.1428571428572,61.71428571428572,0.1308137560792698,0.064680858565888,0.0002797500424948
Spain,2021-12-16,21296.14285714286,49.42857142857143,0.14,-0.0047619047619047,511.4285714285714,66.14285714285714,0.1325019135437368,0.066891832906167,0.0002493783891451
Spain,2021-12-17,23619.571428571428,46.85714285714285,0.144,-0.0016666666666666,525.2857142857143,68.42857142857143,0.1342646208179168,0.0691335082201189,0.0002484789888652
Spain,2021-12-18,23619.571428571428,46.71428571428572,0.146,-0.0023809523809523,530.2857142857143,67.57142857142857,0.1351235127053057,0.0719356346055335,0.0002484789888652
Spain,2021-12-19,23619.571428571428,46.71428571428572,0.149,0.0,549.1428571428571,70.28571428571429,0.1353306190756766,0.0714694972815934,0.000204006430843
Spain,2021-12-20,27891.285714285717,44.142857142857146,0.155,-1.239088197126291e-19,576.4285714285714,71.85714285714286,0.1346871887325549,0.0715340483496571,0.0001998632480779
Spain,2021-12-21,31275.14285714286,49.285714285714285,0.164,0.003095238095238,606.0,71.71428571428571,0.1356508773672745,0.0710899020629818,0.0001664328713113
Spain,2021-12-22,35975.28571428572,45.42857142857143,0.174,0.0052380952380952,631.5714285714286,69.28571428571429,0.1359913674145516,0.0702164239027472,0.0001644455487246
Spain,2021-12-23,42262.71428571428,50.285714285714285,0.183,0.0078571428571428,658.7142857142857,68.0,0.1351702061581288,0.0687858514202598,0.0001392520194061
Spain,2021-12-24,37497.142857142855,44.42857142857143,0.193,-0.0128571428571428,673.5714285714286,69.71428571428571,0.1401167945839605,0.0670275815051661,0.0001392520194061
Spain,2021-12-25,37497.142857142855,44.42857142857143,0.202,-0.0723809523809523,695.1428571428571,72.71428571428571,0.1454250871717547,0.0646084445876317,0.0001392520194061
Spain,2021-12-26,37497.142857142855,44.42857142857143,0.209,-0.0866666666666666,733.1428571428571,74.71428571428571,0.1508872837106093,0.0615825497664889,0.00013121614898
Spain,2021-12-27,56770.71428571428,49.42857142857143,0.226,-0.0883333333333333,791.5714285714286,77.71428571428571,0.1518558444315656,0.0582235352959868,0.0001182453759935
Spain,2021-12-28,63891.857142857145,52.285714285714285,0.247,-0.0911904761904761,855.1428571428571,82.14285714285714,0.1515222735319806,0.0546081162790406,0.0001138398480286
Spain,2021-12-29,69708.85714285714,56.285714285714285,0.269,-0.0907142857142857,919.5714285714286,82.85714285714286,0.1512357677125704,0.0516798458657701,9.868921083450666e-05
Spain,2021-12-30,82391.14285714286,55.142857142857146,0.292,-0.0871428571428571,983.0,86.42857142857143,0.1485697583964182,0.0485304998221216,9.868921083450666e-05
Spain,2021-12-31,82391.14285714286,55.142857142857146,0.307,-0.0819047619047619,1020.2857142857144,84.42857142857143,0.1429267242922616,0.0452877308751225,9.868921083450666e-05
Spain,2022-01-01,82391.14285714286,55.142857142857146,0.314,-0.0723809523809523,1059.0,88.0,0.137248384800585,0.0460216123290338,9.868921083450666e-05
Spain,2022-01-02,82391.14285714286,55.142857142857146,0.321,-0.0549999999999999,1096.142857142857,89.42857142857143,0.1316023638642041,0.0460248316329092,8.718065064295292e-05
Spain,2022-01-03,104983.57142857143,62.0,0.333,-0.0519047619047619,1134.142857142857,91.71428571428572,0.1268935383965978,0.046278017473136,7.431556230381245e-05
Spain,2022-01-04,107569.85714285714,62.285714285714285,0.346,-0.0545238095238095,1179.2857142857142,90.85714285714286,0.1222519808123657,0.0465349377789009,7.519833919425524e-05
Spain,2022-01-05,112772.71428571428,72.28571428571429,0.357,-0.0509523809523809,1220.7142857142858,97.14285714285714,0.117184434327665,0.0467757379315342,6.08947841229588e-05
Spain,2022-01-06,89674.42857142857,61.71428571428572,0.367,-0.1059523809523809,1226.7142857142858,95.85714285714286,0.119094432385103,0.0468217203825353,7.240747175751332e-05
Spain,2022-01-07,124308.71428571428,75.57142857142857,0.378,-0.1038095238095238,1294.0,98.85714285714286,0.1135898479840653,0.0467006530588863,7.240747175751332e-05
Spain,2022-01-08,124308.71428571428,75.57142857142857,0.38,-0.0664285714285714,1346.428571428571,97.71428571428572,0.1075245866123609,0.0439057075276329,7.240747175751332e-05
Spain,2022-01-09,124308.71428571428,75.57142857142857,0.387,-0.0916666666666666,1370.2857142857142,99.0,0.101294796067824,0.0445592514485391,6.374239948426129e-05
Spain,2022-01-10,112827.0,80.42857142857143,0.395,-0.103095238095238,1401.428571428571,99.28571428571428,0.1018396426625844,0.0447081128811124,7.225512347524799e-05
Spain,2022-01-11,115279.42857142857,99.14285714285714,0.398,-0.11,1424.0,101.14285714285714,0.1027155342199122,0.0451486995419782,6.608329111938436e-05
Spain,2022-01-12,121271.57142857143,95.85714285714286,0.395,-0.1266666666666666,1445.857142857143,100.14285714285714,0.102862962297059,0.0456754813036132,7.585647387240444e-05
Spain,2022-01-13,144008.85714285713,111.85714285714286,0.388,-0.089047619047619,1491.2857142857142,104.0,0.0983391888669958,0.0462168397136302,7.649203755388132e-05
Spain,2022-01-14,132590.0,117.85714285714286,0.379,-0.0859523809523809,1505.571428571429,104.85714285714286,0.0964179957543106,0.0467584080076245,7.649203755388132e-05
Spain,2022-01-15,132590.0,117.85714285714286,0.377,-0.0845238095238095,1509.857142857143,102.71428571428572,0.0941023545961418,0.0472078595607792,7.649203755388132e-05
Spain,2022-01-16,132590.0,117.85714285714286,0.375,-0.0849999999999999,1507.7142857142858,99.85714285714286,0.0915900422949138,0.0470655386721056,7.513837122308272e-05
Spain,2022-01-17,138171.85714285713,122.42857142857144,0.367,-0.0852380952380952,1512.857142857143,99.0,0.0891146628025472,0.0477639617273674,7.509019811764187e-05
Spain,2022-01-18,132390.42857142858,127.71428571428572,0.359,-0.0854761904761904,1499.2857142857142,97.14285714285714,0.087493335318528,0.0485081116886691,7.683080500368801e-05
Spain,2022-01-19,129364.14285714286,132.71428571428572,0.355,-0.0845238095238095,1497.428571428571,95.57142857142856,0.0865308242147814,0.0492069931238537,8.026061003790425e-05
Spain,2022-01-20,129119.28571428572,139.85714285714286,0.354,-0.0842857142857142,1498.142857142857,92.0,0.0850496693162037,0.0500391292959223,7.873240091036436e-05
Spain,2022-01-21,126060.28571428572,140.28571428571428,0.355,-0.0833333333333333,1489.0,92.0,0.0847272557747762,0.0509537597471258,7.873240091036436e-05
Spain,2022-01-22,126060.28571428572,140.28571428571428,0.355,-0.0828571428571428,1464.571428571429,90.71428571428572,0.0841945214730115,0.0523072745677006,7.873240091036436e-05
Spain,2022-01-23,126060.28571428572,140.28571428571428,0.353,-0.0838095238095237,1448.428571428571,90.42857142857144,0.0836706226502312,0.0522597694995071,8.011160057019597e-05
Spain,2022-01-24,122341.0,143.0,0.349,-0.084047619047619,1417.7142857142858,87.85714285714286,0.0831603957541645,0.0527917826251576,8.69573036612217e-05
Spain,2022-01-25,125256.0,157.0,0.346,-0.083095238095238,1386.7142857142858,88.42857142857143,0.0813915283325435,0.052893018873081,9.0810089973102e-05
Spain,2022-01-26,121772.0,164.85714285714286,0.343,-0.0816666666666666,1354.571428571429,86.14285714285714,0.0793346315239373,0.0529413498771653,9.192641804800648e-05
Spain,2022-01-27,117977.85714285714,166.85714285714286,0.34,-0.0778571428571428,1312.0,85.57142857142857,0.077258802108859,0.0529258125359562,9.776254279153386e-05
Spain,2022-01-28,114810.28571428572,175.0,0.335,-0.0733333333333333,1273.857142857143,81.85714285714286,0.0743286606413572,0.0528694516884185,9.776254279153386e-05
Spain,2022-01-29,114810.28571428572,175.0,0.331,-0.0664285714285714,1249.142857142857,80.14285714285714,0.0701787020873462,0.0517567774348461,9.776254279153386e-05
Spain,2022-01-30,114810.28571428572,175.0,0.327,-0.0580952380952381,1224.571428571429,79.0,0.0650751678878958,0.0498211224299777,9.975322918131017e-05
Spain,2022-01-31,97194.71428571428,175.85714285714286,0.319,-0.0538095238095238,1185.0,77.0,0.0615278021899162,0.0478525681500622,0.0001077805114556
Spain,2022-02-01,91908.42857142857,179.57142857142858,0.311,-0.0488095238095238,1151.142857142857,71.57142857142857,0.0581949839171463,0.0455122748904901,0.0001118147460825
